group: XeBuyt

TRAMDUNG = {
MaTD:number, TenTram:string, Loai:string, DiaDiem:string
75,'Cho Thanh Xuan','Nha cho','Nha van hoa P. Thanh Loc Ha Huy Giap, Quan 12'
76,'Truong Cao dang dien luc 2','Tru dung','554 (Truong dien luc 2) Ha Huy Giap, Quan 12'
77,'THANH LOC','Ben xe','4/38 To 11 KP 1 Phuong Thanh Loc Quan 12 Ha Huy Giap, Quan 12'
78,'Ben Thanh E','Ben xe','Ben Thanh Pham Ngu Lao, Quan 1'
79,'Den Tho An Giao, Pasteur','Nha cho','Den Tho An Giao Pasteur, Quan 1'
80,'Le Thanh Ton','Tru dung','144 Pasteur, Quan 1'
81,'Ly Tu Trong','Tru dung','158 Pasteur, Quan 1'
82,'Cong vien 30/4','Tru dung','178 Pasteur, Quan 1'
83,'Nguyen Thi Minh Khai','Nha cho','184 Pasteur, Quan 1'
84,'Dai hoc Kien Truc','Nha cho','194 D Pasteur, Quan 3'
85,'So Tu Phap','Nha cho','214 Pasteur, Quan 3'
86,'Dien Bien Phu','Nha cho','232 Pasteur, Quan 3'
87,'Vien Pasteur','Nha cho','Doi dien 153 A-B Vo Thi Sau, Quan 3'
88,'Vien Pasteur','Nha cho','252 (Doi dien 173) Nam Ky Khoi Nghia, Quan 3'
89,'Ngan hang Sacombank','Tru dung','260 Nam Ky Khoi Nghia, Quan 3'
90,'Ly Chinh Thang','O son','288 B7 Nam Ky Khoi Nghia, Quan 3'
91,'Chua Vinh Nghiem','Tru dung','382E Nam Ky Khoi Nghia, Quan 3'
92,'Tran Huy Lieu','Tru dung','40 Nguyen Van Troi, Quan Phu Nhuan'
93,'Trung tam van hoa Quan Phu Nhuan','Tru dung','68 Nguyen Van Troi, Quan Phu Nhuan'
94,'Hoc vien Hang kHong','Tru dung','104 Nguyen Van Troi, Quan Phu Nhuan'
95,'Benh vien Quan Phu Nhuan','Tru dung','142 Nguyen Van Troi, Quan Phu Nhuan'
96,'Cay xang Quan khu 7','Nha cho','180 Nguyen Van Troi, Quan Phu Nhuan'
97,'Cong truoc SVD Quan Khu 7','Nha cho','A2 (San van dong Quan khu 7) Phan Dinh Giot, Quan Tan Binh'
98,'Cong vien Hoang Van Thu','Nha cho','Cong vien Hoang Van Thu Phan Thuc Duyen, Quan Tan Binh'
99,'Lang Cha Ca','Nha cho','20 Tran Quoc Hoan, Quan Tan Binh'
100,'Sieu thi Maximark Cong Hoa','Tru dung','60 Cong Hoa, Quan Tan Binh'
101,'Nha hat Quan Doi','Tru dung','138 (Ke nha hat Quan doi) Cong Hoa, Quan Tan Binh'
102,'Ngan hang Quan doi','Nha cho','Tiec cuoi Huong Sen Cong Hoa, Quan Tan Binh'
103,'Cong ty Lo Hoi','Tru dung','184 Cong Hoa, Quan Tan Binh'
104,'Nga tu Hoang Hoa Tham','Tru dung','304 Cong Hoa, Quan Tan Binh'
105,'Nga ba Binh Gia','Tru dung','390 Cong Hoa, Quan Tan Binh'
106,'Le Van Huan','Tru dung','496 Cong Hoa, Quan Tan Binh'
107,'592, Cong Hoa','O son','592 Cong Hoa, Quan Tan Binh'
108,'Thuong Uyen','Nha cho','660 (ke 592) Cong Hoa, Quan Tan Binh'
109,'Mui tau Cong Hoa','Tru dung','19B1 Truong Chinh, Quan Tan Binh'
110,'Hoa Kieng Thanh Hung','Nha cho','9B Truong Chinh, Quan Tan Binh'
111,'Tan Son','Nha cho','720 Truong Chinh, Quan Tan Binh'
112,'Sieu thi Coop Mart Thang Loi','Nha cho','792 (25/19) Truong Chinh, Quan Tan Binh'
113,'Khu Cong Nghiep tan Binh','Nha cho','906 Truong Chinh, Quan Tan Binh'
114,'Thien Hoa','Nha cho','1/17A Truong Chinh, Quan 12'
115,'Sieu thi Cho Lon','Nha cho','189/4 Truong Chinh, Quan 12'
116,'Chua Vinh Phuoc','Nha cho','258 Truong Chinh, Quan 12'
117,'Chua Lac Quang','Nha cho','408 Truong Chinh, Quan 12'
118,'Bitis','Nha cho','640 Truong Chinh, Quan 12'
119,'Cho Chieu','Nha cho','774A Truong Chinh, Quan 12'
120,'Ben xe An Suong','Tru dung','116 Quoc lo 22, Quan 12'
121,'Ben xe An Suong','Ben xe','Ben xe An Suong Quoc lo 22, Quan 12'
122,'Ben Thanh F','Ben xe','Ben Thanh Pham Ngu Lao, Quan 1'
123,'Nha tho Duc Ba','O son','47 Le Duan, Quan 1'
124,'Cty Xo So Kien Thiet','Tru dung','Sofitel Plaza Le Duan, Quan 1'
125,'Dai hoc Khoa hoc xa hoi nhan van','Nha cho','10 Dinh Tien Hoang, Quan 1'
126,'SVD Hoa Lu','Nha cho','2 Dinh Tien Hoang, Quan 1'
127,'Nguyen Dinh Chieu','Nha cho','18 Dinh Tien Hoang, Quan 1'
128,'Dien Bien Phu','Tru dung','68 Dinh Tien Hoang, Quan 1'
129,'Cau Bong','Tru dung','96 Dinh Tien Hoang, Quan Binh Thanh'
130,'Benh vien Binh Thanh','Nha cho','114 Dinh Tien Hoang, Quan Binh Thanh'
131,'Lang Ong Ba Chieu','Nha cho','Doi dien 129 Dinh Tien Hoang, Quan Binh Thanh'
132,'UBND Quan Binh Thanh','Tru dung','6-8 Phan Dang Luu, Quan Binh Thanh'
133,'Benh Vien Gia Dinh','Nha cho','2 No Trang Long, Quan Binh Thanh'
134,'Ho boi Dai Dong','Tru dung','48 No Trang Long, Quan Binh Thanh'
135,'Nga Tu Binh Hoa','Tru dung','276 Le Quang Dinh, Quan Binh Thanh'
136,'Chua Hung Gia Tu','Tru dung','336 Le Quang Dinh, Quan Binh Thanh'
137,'Nga Tu Xom Ga','Tru dung','424 Le Quang Dinh, Quan Binh Thanh'
138,'Chua Gia Lam','Tru dung','488 Le Quang Dinh, Quan Binh Thanh'
139,'Nga Ba Nguyen Hong','Tru dung','566 Le Quang Dinh, Quan Go Vap'
140,'Truong Dai hoc Cong nghiep','Tru dung','28 Nguyen Van Nghi, Quan Go Vap'
141,'Sieu thi Van Lang','Tru dung','Sieu thi Van Lang Quang Trung, Quan Go Vap'
142,'Cong ty 32','Tru dung','138 Quang Trung, Quan Go Vap'
143,'Nha Tho Xom Thuoc','Tru dung','190 Quang Trung, Quan Go Vap'
144,'UBND Quan Go Vap','Tru dung','328 Quang Trung, Quan Go Vap'
145,'VKS nhan dan Quan Go Vap','Tru dung','402 - 404 Quang Trung, Quan Go Vap'
146,'Chua Huynh Kim','O son','548 Quang Trung, Quan Go Vap'
147,'Sieu thi Binh Dan, Quang Trung','Tru dung','628A Quang Trung, Quan Go Vap'
148,'Cho Thong Tay','Tru dung','734 Quang Trung, Quan Go Vap'
149,'Truong THPT Nguyen Cong Tru','Tru dung','872 (96H) Quang Trung, Quan Go Vap'
150,'Det may Phuong Dong','Nha cho','930 (Kho 97) Quang Trung, Quan Go Vap'
151,'Lang SOS','Tru dung','1010 Quang Trung, Quan Go Vap'
152,'Cong ty Dong Tam','Tru dung','1134 Quang Trung, Quan Go Vap'
153,'Nga Tu Cau cong','Tru dung','1246 Quang Trung, Quan Go Vap'
154,'Cho Cau','Tru dung','1324 Quang Trung, Quan Go Vap'
155,'Cho Cau','O son','113 Quang Trung, Quan 12'
156,'Cau vuot Quang Trung','Tru dung','170 Quang Trung, Quan 12'
157,'Cong vien phan mem Quang Trung','Nha cho','Cong vien phan mem Quang Trung To Ky, Quan 12'
158,'Dong Bac','O son','288 To Ky, Quan 12'
159,'Dien luc Hoc Mon','O son','Dien luc Hoc Mon To Ky, Quan 12'
160,'Chiec non Ky Dieu','O son','312 To Ky, Quan 12'
161,'Cho Tan Chanh Hiep','Tru dung','414 To Ky, Quan 12'
162,'Doanh trai Quan Doi','O son','A49 To Ky, Quan 12'
163,'Truong Dai hoc Lao dong Xa hoi','Tru dung','72 To Ky, Quan 12'
164,'Nga 3 Bau','Tru dung','Lo A4D Nguyen Anh Thu, Quan 12'
165,'Tram y te','O son','772 Nguyen Anh Thu, Quan 12'
166,'Trung tam y te Quan 12','Tru dung','927 Nguyen Anh Thu, Quan 12'
167,'Quan Nam Lua','Tru dung','785 Nguyen Anh Thu, Quan 12'
168,'Nga tu Nuoc da','O son','753 Nguyen Anh Thu, Quan 12'
169,'Truong tieu hoc Nguyen Trai','Tru dung','Truong Nguyen Trai Nguyen Anh Thu, Quan 12'
170,'Nga 3 Dong Quang','Tru dung','581-577 Nguyen Anh Thu, Quan 12'
